event_id,particle_id,truth_energy,truth_eta,truth_phi,eps,min_samples,candidate_dR,group_input_mode,n_input_hits,matched,failure_reason,n_clusters,n_noise_hits,noise_fraction,largest_cluster_label,largest_cluster_n_hits,largest_cluster_energy,chosen_cluster_label,chosen_cluster_n_hits,chosen_cluster_energy,chosen_is_largest,cluster_sizes
2,139,57.02202606201172,-1.8751845654339019,2.464996342030318,0.06,2,0.25,nearby_all,5288,True,,1,0,0.0,0.0,5288,154.51833367070176,0.0,5288,154.51833367070176,True,[5288]
2,139,57.02202606201172,-1.8751845654339019,2.464996342030318,0.08,2,0.25,nearby_all,5288,True,,1,0,0.0,0.0,5288,154.51833367070176,0.0,5288,154.51833367070176,True,[5288]
2,139,57.02202606201172,-1.8751845654339019,2.464996342030318,0.1,2,0.25,nearby_all,5288,True,,1,0,0.0,0.0,5288,154.51833367070176,0.0,5288,154.51833367070176,True,[5288]
2,139,57.02202606201172,-1.8751845654339019,2.464996342030318,0.12,2,0.25,nearby_all,5288,True,,1,0,0.0,0.0,5288,154.51833367070176,0.0,5288,154.51833367070176,True,[5288]
3,345,511.27825927734375,3.257847476673682,-0.15082386152624072,0.04,2,0.25,nearby_all,871,True,,3,0,0.0,0.0,799,376.5694016428726,0.0,799,376.5694016428726,True,"[799, 44, 28]"
3,345,511.27825927734375,3.257847476673682,-0.15082386152624072,0.06,2,0.25,nearby_all,871,True,,3,0,0.0,0.0,799,376.5694016428726,0.0,799,376.5694016428726,True,"[799, 44, 28]"
3,345,511.27825927734375,3.257847476673682,-0.15082386152624072,0.08,2,0.25,nearby_all,871,True,,1,0,0.0,0.0,871,397.87556326459196,0.0,871,397.87556326459196,True,[871]
3,345,511.27825927734375,3.257847476673682,-0.15082386152624072,0.1,2,0.25,nearby_all,871,True,,1,0,0.0,0.0,871,397.87556326459196,0.0,871,397.87556326459196,True,[871]
3,345,511.27825927734375,3.257847476673682,-0.15082386152624072,0.12,2,0.25,nearby_all,871,True,,1,0,0.0,0.0,871,397.87556326459196,0.0,871,397.87556326459196,True,[871]
3,347,44.06303405761719,1.1742144319138839,-1.9373138957804508,0.04,2,0.25,nearby_all,2827,True,,4,0,0.0,0.0,2799,81.12015970720385,0.0,2799,81.12015970720385,True,"[2799, 9, 16, 3]"
3,347,44.06303405761719,1.1742144319138839,-1.9373138957804508,0.06,2,0.25,nearby_all,2827,True,,1,0,0.0,0.0,2827,81.92969715859071,0.0,2827,81.92969715859071,True,[2827]
3,347,44.06303405761719,1.1742144319138839,-1.9373138957804508,0.08,2,0.25,nearby_all,2827,True,,1,0,0.0,0.0,2827,81.92969715859071,0.0,2827,81.92969715859071,True,[2827]
3,347,44.06303405761719,1.1742144319138839,-1.9373138957804508,0.1,2,0.25,nearby_all,2827,True,,1,0,0.0,0.0,2827,81.92969715859071,0.0,2827,81.92969715859071,True,[2827]
